#KD=    4.140000e+02 [muM]
#Ebind= 1.080000e+01 [kT]
    CL0[muM]     CR0[muM]      CL[muM]
1.812695e-07 3.396660e-13 1.812689e-07
1.812695e-07 4.187561e-13 1.812687e-07
1.812695e-07 5.162621e-13 1.812685e-07
1.812695e-07 6.364720e-13 1.812683e-07
1.812695e-07 7.846725e-13 1.812680e-07
1.812695e-07 9.673809e-13 1.812677e-07
1.812695e-07 1.192632e-12 1.812673e-07
1.812695e-07 1.470333e-12 1.812667e-07
1.812695e-07 1.812695e-12 1.812661e-07
1.812695e-07 2.234775e-12 1.812653e-07
1.812695e-07 2.755135e-12 1.812643e-07
1.812695e-07 3.396660e-12 1.812631e-07
1.812695e-07 4.187561e-12 1.812616e-07
1.812695e-07 5.162621e-12 1.812598e-07
1.812695e-07 6.364720e-12 1.812575e-07
1.812695e-07 7.846725e-12 1.812547e-07
1.812695e-07 9.673809e-12 1.812512e-07
1.812695e-07 1.192632e-11 1.812470e-07
1.812695e-07 1.470333e-11 1.812417e-07
1.812695e-07 1.812695e-11 1.812353e-07
1.812695e-07 2.234775e-11 1.812273e-07
1.812695e-07 2.755135e-11 1.812175e-07
1.812695e-07 3.396660e-11 1.812053e-07
1.812695e-07 4.187561e-11 1.811904e-07
1.812695e-07 5.162621e-11 1.811720e-07
1.812695e-07 6.364720e-11 1.811493e-07
1.812695e-07 7.846725e-11 1.811213e-07
1.812695e-07 9.673809e-11 1.810868e-07
1.812695e-07 1.192632e-10 1.810443e-07
1.812695e-07 1.470333e-10 1.809918e-07
1.812695e-07 1.812695e-10 1.809272e-07
1.812695e-07 2.234775e-10 1.808476e-07
1.812695e-07 2.755135e-10 1.807494e-07
1.812695e-07 3.396660e-10 1.806284e-07
1.812695e-07 4.187561e-10 1.804794e-07
1.812695e-07 5.162621e-10 1.802957e-07
1.812695e-07 6.364720e-10 1.800694e-07
1.812695e-07 7.846725e-10 1.797906e-07
1.812695e-07 9.673809e-10 1.794473e-07
1.812695e-07 1.192632e-09 1.790246e-07
1.812695e-07 1.470333e-09 1.785044e-07
1.812695e-07 1.812695e-09 1.778643e-07
1.812695e-07 2.234775e-09 1.770771e-07
1.812695e-07 2.755135e-09 1.761095e-07
1.812695e-07 3.396660e-09 1.749212e-07
1.812695e-07 4.187561e-09 1.734632e-07
1.812695e-07 5.162621e-09 1.716762e-07
1.812695e-07 6.364720e-09 1.694893e-07
1.812695e-07 7.846725e-09 1.668180e-07
1.812695e-07 9.673809e-09 1.635626e-07
1.812695e-07 1.192632e-08 1.596074e-07
1.812695e-07 1.470333e-08 1.548210e-07
1.812695e-07 1.812695e-08 1.490584e-07
1.812695e-07 2.234775e-08 1.421678e-07
1.812695e-07 2.755135e-08 1.340036e-07
1.812695e-07 3.396660e-08 1.244506e-07
